Rank,Bank,Year
1,Goldman Sachs & Co.,2011
2,Blackstone,2011
3,J.P. Morgan,2011
4,Credit Suisse,2011
5,Houlihan Lokey,2011
6,Moelis & Company,2011
7,UBS,2011
8,Centerview Partners,2011
9,Jefferies,2011
10,William Blair,2011
11,RBC Capital Markets,2011
12,TD Securities,2011
13,Baird,2011
14,Sandler O'Neill + Partners L.P.,2011
15,Citi Institutional Clients Group,2011
16,Union Bank N.A.,2011
17,Piper Jaffray Companies,2011
18,Cowen Inc.,2011
19,FBR & Co.,2011
20,Citi Consumer Banking,2011
21,SunTrust Robinson Humphrey,2011
22,Morgan Stanley,2011
23,Lazard,2011
24,Deutsche Bank AG,2011
25,Barclays Investment Bank (Americas),2011
26,Greenhill & Co. Inc.,2011
27,Evercore,2011
28,Bank of America Corp.,2011
29,Rothschild,2011
30,Perella Weinberg Partners,2011
31,Wells Fargo & Company,2011
32,HSBC North America Holdings,2011
33,Deloitte Corporate Finance LLC,2011
34,BNP Paribas USA,2011
35,Royal Bank of Scotland Group plc,2011
36,Bank of New York Mellon Corporation,2011
37,Oppenheimer & Co.,2011
38,Macquarie Group (U.S.),2011
39,Chase Commercial Bank,2011
40,Nomura Holdings Inc.,2011
41,BMO Capital Markets,2011
42,Allen & Company LLC,2011
43,Thomas Weisel Partners Group Inc.,2011
44,Keefe Bruyette & Woods Inc.,2011
45,Lloyds Banking Group PLC,2011
46,Raymond James Financial Inc.,2011
47,Brown Brothers Harriman,2011
48,PJ SOLOMON,2011
49,The PNC Financial Services Group Inc.,2011
50,Morgan Keegan & Co. Inc.,2011
1,J.P. Morgan,2012
2,Goldman Sachs & Co.,2012
3,Morgan Stanley,2012
4,Credit Suisse,2012
5,Houlihan Lokey,2012
6,Greenhill & Co. Inc.,2012
7,Evercore,2012
8,Perella Weinberg Partners,2012
9,Centerview Partners,2012
10,Jefferies,2012
11,Moelis & Company,2012
12,Nomura Holdings Inc.,2012
13,RBC Capital Markets,2012
14,Royal Bank of Scotland Group plc,2012
15,Citi Institutional Clients Group,2012
16,Sandler O'Neill + Partners L.P.,2012
17,Baird,2012
18,Piper Jaffray Companies,2012
19,Gleacher & Company Inc.,2012
20,William Blair,2012
21,Cowen Inc.,2012
22,SunTrust Robinson Humphrey,2012
23,FBR & Co.,2012
24,Blackstone,2012
25,Lazard,2012
26,Deutsche Bank AG,2012
27,Barclays Investment Bank (Americas),2012
28,UBS,2012
29,Bank of America Corp.,2012
30,Rothschild,2012
31,Wells Fargo & Company,2012
32,Deloitte Corporate Finance LLC,2012
33,HSBC North America Holdings,2012
34,BNP Paribas USA,2012
35,Oppenheimer & Co.,2012
36,Societe Generale Corporate & Investment Banking,2012
37,Macquarie Group (U.S.),2012
38,Allen & Company LLC,2012
39,Bank of New York Mellon Corporation,2012
40,BMO Capital Markets,2012
41,Cantor Fitzgerald,2012
42,Lloyds Banking Group PLC,2012
43,Brown Brothers Harriman,2012
44,PJ SOLOMON,2012
45,Raymond James Financial Inc.,2012
46,Miller Buckfire & Co. LLC,2012
47,,2012
48,Morgan Keegan & Co. Inc.,2012
49,Credit Agricole Corporate and Investment Bank,2012
50,Susquehanna International Group,2012
1,J.P. Morgan,2013
2,Blackstone,2013
3,Goldman Sachs & Co.,2013
4,Houlihan Lokey,2013
5,Morgan Stanley,2013
6,Greenhill & Co. Inc.,2013
7,Evercore,2013
8,Perella Weinberg Partners,2013
9,Centerview Partners,2013
10,Credit Suisse,2013
11,Lazard,2013
12,Jefferies,2013
13,Moelis & Company,2013
14,Citi Institutional Clients Group,2013
15,William Blair,2013
16,Gleacher & Company Inc.,2013
17,Baird,2013
18,RBC Capital Markets,2013
19,Cowen Inc.,2013
20,Royal Bank of Scotland Group plc,2013
21,Piper Jaffray Companies,2013
22,SunTrust Robinson Humphrey,2013
23,Keefe Bruyette & Woods Inc.,2013
24,Deutsche Bank AG,2013
25,Barclays Investment Bank (Americas),2013
26,Bank of America Corp.,2013
27,UBS,2013
28,Rothschild,2013
29,HSBC North America Holdings,2013
30,Wells Fargo & Company,2013
31,Deloitte Corporate Finance LLC,2013
32,Allen & Company LLC,2013
33,BNP Paribas USA,2013
34,Macquarie Group (U.S.),2013
35,Nomura Holdings Inc.,2013
36,Oppenheimer & Co.,2013
37,Bank of New York Mellon Corporation,2013
38,Societe Generale Corporate & Investment Banking,2013
39,Cantor Fitzgerald,2013
40,BMO Capital Markets,2013
41,Lloyds Banking Group PLC,2013
42,Brown Brothers Harriman,2013
43,Credit Agricole Corporate and Investment Bank,2013
44,Standard Chartered Bank (North America),2013
45,Raymond James Financial Inc.,2013
46,Sandler O'Neill + Partners L.P.,2013
47,PJ SOLOMON,2013
48,Morgan Keegan & Co. Inc.,2013
49,Miller Buckfire & Co. LLC,2013
50,TD Securities,2013
1,Blackstone,2014
2,Goldman Sachs & Co.,2014
3,J.P. Morgan,2014
4,Houlihan Lokey,2014
5,Evercore,2014
6,Morgan Stanley,2014
7,Centerview Partners,2014
8,Greenhill & Co. Inc.,2014
9,Perella Weinberg Partners,2014
10,Credit Suisse,2014
11,PJ SOLOMON,2014
12,William Blair,2014
13,Baird,2014
14,Lazard,2014
15,RBC Capital Markets,2014
16,Citi Institutional Clients Group,2014
17,Royal Bank of Scotland Group plc,2014
18,Cowen Inc.,2014
19,SunTrust Robinson Humphrey,2014
20,Barclays Investment Bank (Americas),2014
21,Deutsche Bank AG,2014
22,Bank of America Corp.,2014
23,Moelis & Company,2014
24,Jefferies,2014
25,Rothschild,2014
26,UBS,2014
27,Wells Fargo & Company,2014
28,Allen & Company LLC,2014
29,Qatalyst Partners,2014
30,Macquarie Group (U.S.),2014
31,Oppenheimer & Co.,2014
32,HSBC North America Holdings,2014
33,BNP Paribas USA,2014
34,Nomura Holdings Inc.,2014
35,BMO Capital Markets,2014
36,Bank of New York Mellon Corporation,2014
37,Piper Jaffray Companies,2014
38,Societe Generale Corporate & Investment Banking,2014
39,Deloitte Corporate Finance LLC,2014
40,Brown Brothers Harriman,2014
41,Cantor Fitzgerald,2014
42,Raymond James Financial Inc.,2014
43,Credit Agricole Corporate and Investment Bank,2014
44,Sandler O'Neill + Partners L.P.,2014
45,Stifel Financial Corp.,2014
46,Miller Buckfire & Co. LLC,2014
47,Lloyds Banking Group PLC,2014
48,TD Securities,2014
49,Tudor Pickering Holt & Co.,2014
50,Duff & Phelps Corporation,2014
1,Blackstone,2015
2,Goldman Sachs & Co.,2015
